Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic,nb_dots,nb_qm,nb_and,nb_eq,ratio_digits_url,punycode,domain_in_brand,brand_in_path,suspecious_tld
asesoresvelfit.com,0,0,/media/datacredito.co/,0,http,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0
caixa.com.br.fgtsagendesaqueconta.com,0,0,/consulta8523211/principal.php,0,http,0,1,1,0,0,1,0,1,1,0,1,4,0,0,0,0,0,1,0,0
hissoulreason.com,0,0,/js/homepage/home/,0,http,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
unauthorizd.newebpage.com,0,0,/webapps/66fbf/,0,http,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
133.130.103.10,0,1,/23/,0,http,0,2,0,1,0,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0
dj00.co.vu,1,0,/css/,0,http,0,0,2,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,1
133.130.103.10,0,1,/21/logar/,0,http,0,2,0,1,0,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0
httpssicredi.esy.es,0,0,/servico/sicredi/validarclientes/mobi/index.php,0,http,0,2,2,1,1,1,1,1,1,0,1,2,0,0,0,0,0,1,0,0
gamesaty.ga,0,0,/wp-content///yh/en/,0,http,1,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1
luxuryupgradepro.com,0,0,/ymailNew/ymailNew/,0,http,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
133.130.103.10,0,1,/1/,0,http,0,2,0,1,0,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0
133.130.103.10,0,1,/24/sicredi/psmlId/31/paneid/index.htm,0,http,0,1,2,1,0,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0
smscaixaacesso.hol.es,0,0,,0,http,0,0,0,1,1,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
133.130.103.10,0,1,/7/SIIBC/siwinCtrl.php,0,http,0,1,0,1,0,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0
tinyurl.com,0,0,/kjmmw57,0,http,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
wrightlandscapes.org,0,0,/no/T/Y1.html,0,http,0,0,0,1,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
mautic.eto-cms.ru,0,0,/themes/goldstar/mtbonline/newmandt/,1,http,0,0,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
ginatringali.com,0,0,//al/alibaba21012015/alibaba21012015/666/index.html,0,http,1,0,2,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0
staticmail.000webhostapp.com,0,0,/,0,https,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0.2,0,0,0,0
umeda.com.br,0,0,/bba/BOA/home/,0,http,0,0,0,1,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
krishworldwide.com,0,0,/BackUp/under/js/ayo1/index.html,0,http,0,0,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
yahoo.co.in,0,0,/email_open_log_pic.php,0,http,0,2,1,1,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0
www.avcc.ac.in,0,0,/fonts/1/wropboxp/login.html,0,http,0,1,0,1,0,1,0,1,0,0,2,3,0,0,0,0,0,0,0,0
craig-hallum.ga,0,0,/sgg/1/login.htm,1,http,0,0,0,1,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1
www.verification-mobile-nab.com,0,0,/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/,1,http,0,0,1,1,1,1,0,1,1,0,1,3,0,0,0,0,0,0,1,0
verification-mobile-nab.com,0,0,/cgi/e8e11a52ed442dc4b327eaa2f19c2521/login/,1,http,0,0,1,1,1,1,0,1,1,0,1,3,0,0,0,0,0,0,1,0
www.justpiddlinboutique.com,0,0,/win/image.htm,0,http,0,2,0,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
vcsolutionscorp.com,0,0,/Block/image.htm,0,http,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
almasur.com,0,0,/wp-includes/pomo/docusign17/,0,http,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
asesoresvelfit.com,0,0,/media/cms/datacredito.co/,0,http,0,0,0,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0
getpeopleplus.com,0,0,/EserviceMain/irs/ir/index.html,0,https,0,0,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
taeamigo.com,0,0,/EserviceMain/irs/ir/index.html,0,https,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
elmundo-latino.com,0,0,/ir/index.html,1,https,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
sociopremiosedescontos.com,0,0,/cadastro/,0,http,0,0,0,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
cartaopremiadosicoob.com,0,0,,0,http,0,0,0,1,1,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
ms-0ffice365supportplanquota.us.com0203499083934.elegantvapour.co.uk,0,0,/0-009021--0203499083934.l3992389100283901233232400349902132443940090132/hotmail.login/client_id=00000002-0000-0ff1-ce00-000000000000&amp;/000-pc.domain/officelogin1.html,1,http,0,1,1,0,0,1,0,1,1,0,2,3,0,0,0,0.21,0,1,0,0
www.travrica.com,0,0,/ntime/T/Y1.html,0,http,0,2,0,1,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
system-tnc.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
sandralucashyde.org,0,0,/login.yahoo/yahoo.com%20[Lastet%20Update]/indexz.html,0,http,0,1,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
alexanderpetricek.com,0,0,/EserviceMain/irs/ir/index.html,0,http,0,0,2,2,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0
di15.co.vu,0,0,/css/,0,http,0,0,2,1,1,1,0,1,1,0,0,2,0,0,0,0.13,0,0,0,1
sicredisms.ignitiondomain.com,0,0,/2017/validarclientes/mobi/index.php,0,http,0,2,2,0,0,0,0,1,1,0,2,2,0,0,0,0,0,1,0,0
rajspaces.com,0,0,/EserviceDLAcct/irs/ir/index.html,0,https,0,0,2,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
fb-systemapps.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
signin-activitysupport.helpcenter-supportfraudsignin.com,0,0,/mpp/signin/f341/,1,https,0,0,1,1,1,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0
www.citadelchurchjax.com,0,0,/wp-admin/validateowa/owa/WebAdmin/Outlook%20Web%20App.htm,0,http,0,2,1,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0
