Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic,nb_dots,nb_qm,nb_and,nb_eq,ratio_digits_url,punycode,domain_in_brand,brand_in_path,suspecious_tld
www.liquidgeneration.com,0,0,/,0,http,0,0,32,0,0,1,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.onlineanime.org,0,0,/,0,http,0,0,27,0,0,1,0,0,1,0,1,2,0,0,0,0.0,0,0,0,0
www.ceres.dti.ne.jp,0,0,/~nekoi/senno/senfirst.html,0,http,0,1,53,1,0,1,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0
www.galeon.com,0,0,/kmh/,0,http,0,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0
www.fanworkrecs.com,0,0,/,0,http,0,0,27,1,1,1,0,0,1,0,1,2,0,0,0,0.0,0,0,0,0
www.animehouse.com,0,0,/,0,http,0,0,26,0,0,1,0,0,1,0,1,2,0,0,0,0.0,0,0,0,0
www2.117.ne.jp,0,0,/~mb1996ax/enadc.html,0,http,0,1,42,1,0,1,0,0,0,0,2,2,0,0,0,0.1905,0,0,0,0
archive.rhps.org,0,0,/fritters/yui/index.html,0,http,0,2,47,0,0,1,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.freecartoonsex.com,0,0,/,0,http,0,0,30,0,0,1,0,0,0,1,2,2,0,0,0,0.0,0,0,0,0
www.cutepet.org,0,0,/,0,http,0,0,23,2,0,0,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.taremeparadise.com,0,0,/,0,http,0,0,30,2,0,2,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.internetdump.com,0,0,/users/pornographite/index1.html,0,http,0,2,59,0,0,1,0,0,0,0,1,2,0,0,0,0.0169,0,0,0,0
darkkaminari.net,0,0,,0,http,0,0,26,1,1,1,0,0,1,0,1,1,0,0,0,0.0,0,0,0,0
www.iei.net,0,0,/~bkos1/velneko.htm,0,http,0,2,37,0,0,1,0,0,1,0,1,1,0,0,0,0.027,0,0,0,0
www9.kinghost.com,0,0,/fetish/hentaibee/,0,http,0,0,42,2,0,2,0,0,0,1,0,2,0,0,0,0.0238,0,0,0,0
www.jasonmeador.com,0,0,/,0,http,0,0,27,0,0,1,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0
www.geocities.com,0,0,/kaseychan17/index.html,0,http,0,2,47,2,0,2,0,0,0,0,2,1,0,0,0,0.0426,0,0,0,0
www.angelfire.com,0,0,/journal/coldlemonade/index.html,0,http,0,2,56,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0
e.webring.com,0,0,/hub,0,http,0,0,24,0,0,0,0,0,0,0,2,1,0,0,0,0.0,0,0,0,0
www.nemurokinenkan.net,0,0,,0,http,0,0,32,1,1,1,0,0,1,0,1,2,0,0,0,0.0,0,0,0,0
j-heaven.tripod.com,0,0,/library.htm,1,http,0,2,38,0,0,0,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0
www.angelfire.com,0,0,/poetry/nicolesstories/,0,http,0,0,47,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0
thesheeparecoming.tripod.com,0,0,/papercrane/,0,http,0,0,47,0,0,0,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0
www.geocities.com,0,0,/eddie_monsoon2002/,0,http,0,0,43,2,0,2,0,0,0,0,2,2,0,0,0,0.093,0,0,0,0
www.shokushu.com,0,0,/,0,http,0,0,24,0,0,1,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.geocities.com,0,0,/timessquare/arcade/7810/p_hgames.htm,0,http,0,2,61,2,0,2,0,0,0,0,2,2,0,0,0,0.0656,0,0,0,0
www.hentaisocialclub.com,0,0,/ganguro/index.html,0,http,0,2,50,0,0,1,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
ryogamasaki.netfirms.com,0,0,/,0,http,0,0,32,0,0,0,0,0,1,0,0,2,0,0,0,0.0,0,0,0,0
members.tripod.com,0,0,/~chaz16/3.html,0,http,0,2,40,0,0,0,0,0,0,0,0,2,0,0,0,0.075,0,0,0,0
www.hentai-comics.com,0,0,/,1,http,0,0,29,2,0,2,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.jastusa.com,0,0,/,0,http,0,0,23,0,0,1,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.peachprincess.com,0,0,/,0,http,0,0,29,0,0,1,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.g-collections.com,0,0,,1,http,0,0,31,0,0,1,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.hentai-games.com,0,0,/,1,http,0,0,28,0,0,1,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0
www.canadahentai.com,0,0,,0,http,0,0,30,2,0,2,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0
www.hirameki-int.com,0,0,,1,http,0,0,30,0,0,1,0,0,0,1,1,2,0,0,0,0.0,0,0,0,0
www.himeyashop.com,0,0,/,0,http,0,0,26,0,0,1,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0
www.jlist.com,0,0,/,0,http,0,0,21,0,0,0,0,0,0,1,0,2,0,0,0,0.0,0,0,0,0
www.clubspooey.com,0,0,/spooey/,0,http,0,0,33,0,0,1,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0
www.hentaigamer.com,0,0,,0,http,0,0,29,2,0,2,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0
www.pcrdist.com,0,0,,0,http,0,0,25,0,0,1,0,0,0,1,2,2,0,0,0,0.0,0,0,0,0
www.densetsu.com,0,0,/,0,http,0,0,24,0,0,1,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.animetric.com,0,0,/bgames.html,0,http,0,2,36,0,0,1,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.jmate.com,0,0,/home.html,0,http,0,2,30,0,0,1,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0
www.three-musketeers.net,0,0,/mike/animeopinions.html,1,http,0,2,55,0,0,1,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
engbishoujo.tripod.com,0,0,,0,http,0,0,32,0,0,0,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0
www.somethingawful.com,0,0,/hentai/,0,http,0,0,37,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0
www.geocities.com,0,0,/aetus_kane/reviews.html,0,http,0,2,48,2,0,2,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.hentaigameszone.com,0,0,,0,http,0,0,33,2,0,2,0,0,0,0,1,2,0,0,0,0.0,0,0,0,0
www.hentaineko.com,0,0,/html_peekv/peek_vgames.shtml,0,http,0,2,54,0,0,1,0,0,0,0,2,2,0,0,0,0.0,0,0,0,0
www.asahi-net.or.jp,0,0,/~uz9y-ab/yaoicomic.htm,1,http,0,1,49,1,0,1,0,0,0,0,0,2,0,0,0,0.0204,0,0,0,0
